,price,date,bathrooms,bedrooms,sqft_living,sqft_lot,floors,condition,grade,yr_built,yr_renovated,location
1,993500,10/8/14,5,3,1148,814,2,Very Good,Average,1907,2014,DC
2,1280000,8/19/14,2.5,3,1630,1000,2,Good,Good Quality,1906,2004,DC
4,1440000,4/22/15,3.5,4,1686,1424,2,Very Good,Above Average,1908,2015,DC
5,1050000,12/23/14,2,2,1440,1800,2,Average,Above Average,1885,1984,DC
8,900000,6/5/14,1.5,2,1728,900,3,Good,Average,1880,2003,DC
10,1800000,1/13/15,5,3,2672,1620,3,Good,Very Good,1897,1990,DC
11,760000,8/6/14,1.5,3,1192,815,2,Very Good,Above Average,1900,2014,DC
13,1715000,12/8/14,3.5,5,3180,1964,3,Average,Very Good,1879,2011,DC
14,1278460,5/13/15,3.5,5,3000,1200,3,Average,Very Good,1885,2018,DC
15,852500,4/3/15,3,3,1200,1393,2,Average,Good Quality,1950,1997,DC
16,1060000,7/14/14,2.5,2,1200,873,2,Very Good,Above Average,1960,2003,DC
20,1250000,9/26/14,3.5,5,2176,1623,3,Good,Very Good,1900,1997,DC
22,2000000,5/7/14,3,6,4004,2375,3,Average,Good Quality,1895,0,DC
23,1828000,5/27/15,4.5,5,2405,1400,3,Very Good,Good Quality,1885,2015,DC
25,1109000,4/3/15,3,3,1888,1600,3,Average,Good Quality,1900,1965,DC
26,1110000,5/21/14,2.5,4,1694,1742,2,Good,Above Average,1916,2015,DC
27,1610000,8/8/14,3.5,3,2445,1374,3,Very Good,Very Good,1905,2012,DC
28,1080000,7/7/14,3.5,3,1382,1386,2,Good,Above Average,1915,1998,DC
30,1711000,5/14/15,3,5,2700,2000,3,Average,Good Quality,1895,1962,DC
31,1367000,4/10/15,4.5,3,2436,1080,3,Good,Good Quality,1895,0,DC
32,800000,10/10/14,1,3,1272,1423,2,Good,Above Average,1875,1973,DC
33,1200000,12/12/14,3,3,2514,1400,3,Good,Good Quality,1890,2006,DC
34,1103500,7/10/14,5,4,2904,1400,3,Average,Good Quality,1890,2014,DC
36,1350000,9/9/14,4,6,2751,2146,3,Good,Good Quality,1925,1996,DC
37,1400000,3/31/15,2.5,3,1288,2145,2,Good,Good Quality,1870,2008,DC
42,2435000,9/3/14,4.5,5,2781,1536,3,Excellent,Superior,1885,2007,DC
43,2050000,5/27/15,5,6,3933,2424,3,Average,Very Good,1885,1979,DC
45,1231000,5/19/14,3,3,1724,710,3,Very Good,Very Good,1892,0,DC
46,1049000,11/10/14,3.5,4,2204,1800,2,Average,Above Average,1890,2002,DC
47,1250000,12/10/14,3.5,3,1516,1621,2,Good,Above Average,1916,2009,DC
48,737500,6/4/14,1.5,2,1376,1562,2,Good,Average,1900,2005,DC
50,830000,3/24/15,2,3,1336,982,2,Good,Above Average,1880,0,DC
52,1230000,11/12/14,2.5,3,1704,1900,2,Good,Above Average,1900,1972,DC
53,877500,6/30/14,2.5,3,1244,656,3,Good,Good Quality,2001,0,DC
54,600000,12/22/14,2,2,990,797,2,Average,Above Average,1900,0,DC
55,899000,12/31/14,3.5,3,1552,1322,2,Good,Above Average,1909,2006,DC
56,650000,5/5/15,2.5,3,1024,901,2,Average,Above Average,1900,2002,DC
57,1137500,5/4/15,3,3,2282,1717,3,Average,Above Average,1900,2010,DC
58,409000,3/20/15,1,3,696,397,2,Good,Average,1900,1996,DC
59,730000,4/15/15,1,3,1648,1800,2,Good,Average,1900,0,DC
60,850000,12/12/14,3.5,3,1244,608,3,Very Good,Good Quality,2001,0,DC
61,1261125,6/6/14,2.5,3,1726,874,3,Very Good,Very Good,2001,0,DC
62,925000,9/24/14,2.5,4,1392,684,3,Very Good,Good Quality,2001,0,DC
63,910000,8/14/14,2.5,3,1392,684,3,Very Good,Good Quality,2001,2014,DC
64,774555,4/23/15,2.5,2,1575,824,3,Good,Average,2002,0,DC
65,632000,9/4/14,1.5,2,1260,816,2,Good,Above Average,1900,2014,DC
66,1025000,12/24/14,3.5,4,1540,3372,2,Good,Average,1979,2015,DC
67,520000,8/12/14,1.5,2,990,1005,2,Good,Above Average,1900,2013,DC
69,607000,12/11/14,1,2,728,608,2,Average,Average,1961,2010,DC
70,507000,7/30/14,1,2,864,581,2,Good,Average,1880,0,DC
72,1050000,5/2/14,2.5,5,2495,1547,3,Good,Good Quality,1895,0,DC
76,650000,3/17/15,3,3,1336,913,2,Very Good,Good Quality,1881,2016,DC
77,1292500,9/10/14,3.5,3,2182,1745,2,Good,Above Average,1900,2010,DC
78,635000,5/18/15,1,2,1319,1229,2,Average,Average,1900,0,DC
80,1010000,12/17/14,3,3,1228,1063,2,Very Good,Average,1889,2015,DC
81,880000,10/10/14,2.5,2,1450,1331,2,Good,Above Average,1906,2014,DC
83,543000,6/13/14,1.5,3,1094,513,2,Good,Above Average,1891,2002,DC
86,1015000,6/9/14,3,3,1586,1572,2,Good,Good Quality,1953,0,DC
89,612100,4/6/15,2.5,3,1600,1392,2,Very Good,Average,1909,2015,DC
90,450000,3/19/15,1.5,3,1440,1392,2,Good,Average,1909,2011,DC
91,850000,11/6/14,3.5,3,1640,1240,2,Average,Above Average,1968,2008,DC
95,523000,11/7/14,1.5,2,954,667,2,Good,Average,1890,2004,DC
96,525000,5/9/14,1,2,672,494,2,Good,Average,1890,2005,DC
97,510000,6/6/14,1,2,650,445,2,Good,Average,1890,2005,DC
99,942000,3/10/15,3,5,2322,2100,2,Good,Good Quality,1894,2004,DC
100,875000,6/25/14,2.5,3,1776,1857,2,Good,Average,1880,2007,DC
101,1110126,11/12/14,2,5,2340,1986,2,Average,Good Quality,1900,0,DC
103,272102,9/12/14,2,3,1838,1838,2,Average,Good Quality,1890,1992,DC
104,569000,5/27/15,1,2,720,508,2,Very Good,Average,1890,2006,DC
105,493000,12/2/14,1,2,728,564,2,Average,Average,1890,0,DC
106,505000,6/3/14,1,2,816,705,2,Good,Average,1890,2004,DC
108,1195000,6/26/14,2.5,5,1632,1710,2,Good,Good Quality,1905,2001,DC
109,1300000,7/16/14,3.5,3,1472,1549,2,Very Good,Above Average,1909,2004,DC
111,938000,7/28/14,2.5,4,1522,1474,3,Good,Very Good,1900,2005,DC
113,770000,2/13/15,1,2,1180,1517,2,Average,Average,1875,0,DC
114,1030000,10/1/14,2,2,1194,1517,2,Very Good,Above Average,1870,2006,DC
115,750000,1/8/15,1,3,1194,1517,2,Poor,Average,1870,0,DC
