,price,date,bathrooms,bedrooms,sqft_living,sqft_lot,floors,condition,grade,yr_built,yr_renovated,location
0,221900.0,2014-10-13,1.0,3,1180.0,5650,1.0,Good,Excellent,1955,0,KC
1,538000.0,2014-12-09,2.25,3,2570.0,7242,2.0,Good,Excellent,1951,1991,KC
2,180000.0,2015-02-25,1.0,2,770.0,10000,1.0,Good,Very Good,1933,0,KC
3,604000.0,2014-12-09,3.0,4,1960.0,5000,1.0,Excellent,Excellent,1965,0,KC
4,510000.0,2015-02-18,2.0,3,1680.0,8080,1.0,Good,Superior,1987,0,KC
5,1225000.0,2014-05-12,4.5,4,5420.0,101930,1.0,Good,Exceptional-C,2001,0,KC
6,257500.0,2014-06-27,2.25,3,1715.0,6819,2.0,Good,Excellent,1995,0,KC
7,291850.0,2015-01-15,1.5,3,1060.0,9711,1.0,Good,Excellent,1963,0,KC
8,229500.0,2015-04-15,1.0,3,1780.0,7470,1.0,Good,Excellent,1960,0,KC
9,323000.0,2015-03-12,2.5,3,1890.0,6560,2.0,Good,Excellent,2003,0,KC
10,662500.0,2015-04-03,2.5,3,3560.0,9796,1.0,Good,Superior,1965,0,KC
11,468000.0,2014-05-27,1.0,2,1160.0,6000,1.0,Very Good,Excellent,1942,0,KC
12,310000.0,2014-05-28,1.0,3,1430.0,19901,1.5,Very Good,Excellent,1927,0,KC
13,400000.0,2014-10-07,1.75,3,1370.0,9680,1.0,Very Good,Excellent,1977,0,KC
14,530000.0,2015-03-12,2.0,5,1810.0,4850,1.5,Good,Excellent,1900,0,KC
15,650000.0,2015-01-24,3.0,4,2950.0,5000,2.0,Good,Exceptional-A,1979,0,KC
16,395000.0,2014-07-31,2.0,3,1890.0,14040,2.0,Good,Excellent,1994,0,KC
17,485000.0,2014-05-29,1.0,4,1600.0,4300,1.5,Very Good,Excellent,1916,0,KC
18,189000.0,2014-12-05,1.0,2,1200.0,9850,1.0,Very Good,Excellent,1921,0,KC
19,230000.0,2015-04-24,1.0,3,1250.0,9774,1.0,Very Good,Excellent,1969,0,KC
20,385000.0,2014-05-14,1.75,4,1620.0,4980,1.0,Very Good,Excellent,1947,0,KC
21,2000000.0,2014-08-26,2.75,3,3050.0,44867,1.0,Good,Exceptional-A,1968,0,KC
22,285000.0,2014-07-03,2.5,5,2270.0,6300,2.0,Good,Superior,1995,0,KC
23,252700.0,2014-05-16,1.5,2,1070.0,9643,1.0,Good,Excellent,1985,0,KC
24,329000.0,2014-11-20,2.25,3,2450.0,6500,2.0,Very Good,Superior,1985,0,KC
25,233000.0,2014-11-03,2.0,3,1710.0,4697,1.5,Excellent,Very Good,1941,0,KC
26,937000.0,2014-06-26,1.75,3,2450.0,2691,2.0,Good,Superior,1915,0,KC
27,667000.0,2014-12-01,1.0,3,1400.0,1581,1.5,Excellent,Superior,1909,0,KC
28,438000.0,2014-06-24,1.75,3,1520.0,6380,1.0,Good,Excellent,1948,0,KC
29,719000.0,2015-03-02,2.5,4,2570.0,7173,2.0,Good,Superior,2005,0,KC
30,580500.0,2014-11-10,2.5,3,2320.0,3980,2.0,Good,Superior,2003,0,KC
31,280000.0,2014-12-01,1.5,2,1190.0,1265,3.0,Good,Excellent,2005,0,KC
32,687500.0,2014-06-24,1.75,4,2330.0,5000,1.5,Very Good,Excellent,1929,0,KC
33,535000.0,2014-11-10,1.0,3,1090.0,3000,1.5,Very Good,Superior,1929,0,KC
34,322500.0,2014-12-03,2.75,4,2060.0,6659,1.0,Good,Excellent,1981,0,KC
35,696000.0,2014-06-13,2.5,3,2300.0,3060,1.5,Good,Superior,1930,2002,KC
36,550000.0,2014-05-28,1.0,4,1660.0,34848,1.0,Poor,Good Quality,1933,0,KC
37,640000.0,2014-12-30,2.0,4,2360.0,6000,2.0,Very Good,Superior,1904,0,KC
38,240000.0,2015-02-13,1.0,4,1220.0,8075,1.0,Average,Excellent,1969,0,KC
39,605000.0,2014-06-20,2.5,4,2620.0,7553,2.0,Good,Superior,1996,0,KC
40,625000.0,2014-07-15,2.5,4,2570.0,5520,2.0,Good,Exceptional-A,2000,0,KC
41,775000.0,2014-08-11,2.25,4,4220.0,24186,1.0,Good,Superior,1984,0,KC
42,861990.0,2014-07-07,2.75,5,3595.0,5639,2.0,Good,Exceptional-A,2014,0,KC
43,685000.0,2014-10-28,1.0,3,1570.0,2280,2.0,Good,Excellent,1922,0,KC
44,309000.0,2014-07-29,1.0,3,1280.0,9656,1.0,Very Good,Very Good,1959,0,KC
45,488000.0,2014-07-18,2.5,3,3160.0,13603,2.0,Good,Superior,2003,0,KC
46,210490.0,2015-03-25,1.0,3,990.0,8528,1.0,Good,Very Good,1966,0,KC
47,785000.0,2014-07-16,2.5,4,2290.0,13416,2.0,Very Good,Exceptional-A,1981,0,KC
48,450000.0,2015-04-28,1.75,3,1250.0,5963,1.0,Very Good,Excellent,1953,0,KC
49,1350000.0,2015-03-11,2.5,3,2753.0,65005,1.0,Excellent,Exceptional-A,1953,0,KC
50,228000.0,2014-09-16,1.0,3,1190.0,9199,1.0,Good,Excellent,1955,0,KC
51,345000.0,2015-02-17,2.5,5,3150.0,9134,1.0,Very Good,Superior,1966,0,KC
52,600000.0,2014-12-31,1.75,3,1410.0,4080,1.0,Very Good,Excellent,1950,0,KC
53,585000.0,2015-02-05,1.75,2,1980.0,8550,1.0,Good,Excellent,1981,0,KC
54,920000.0,2015-03-03,2.25,5,2730.0,6000,1.5,Good,Superior,1927,0,KC
55,885000.0,2014-05-12,2.5,4,2830.0,5000,2.0,Good,Exceptional-A,1995,0,KC
56,292500.0,2014-08-19,2.5,4,2250.0,4495,2.0,Good,Excellent,2008,0,KC
57,301000.0,2015-04-07,2.5,3,2420.0,4750,2.0,Good,Superior,2003,0,KC
58,951000.0,2014-08-27,3.25,5,3250.0,14342,2.0,Very Good,Superior,1968,0,KC
59,430000.0,2015-02-23,3.0,4,1850.0,9976,2.0,Good,Superior,1991,0,KC
60,650000.0,2014-12-10,2.25,3,2150.0,21235,1.0,Very Good,Superior,1959,0,KC
61,289000.0,2014-08-28,1.75,3,1260.0,8400,1.0,Good,Excellent,1954,0,KC
62,505000.0,2014-10-21,1.75,3,2519.0,8690,2.0,Excellent,Superior,1973,0,KC
63,549000.0,2014-12-07,1.75,3,1540.0,1044,3.0,Good,Superior,2014,0,KC
64,425000.0,2014-06-03,2.25,3,1660.0,6000,1.0,Good,Excellent,1979,0,KC
65,317625.0,2014-11-20,2.75,3,2770.0,3809,1.5,Excellent,Excellent,1925,0,KC
66,975000.0,2014-09-09,2.5,4,2720.0,11049,2.0,Good,Exceptional-B,1989,0,KC
67,287000.0,2014-10-09,2.5,4,2240.0,4648,2.0,Good,Excellent,2005,0,KC
68,204000.0,2014-08-25,1.0,3,1000.0,12070,1.0,Very Good,Excellent,1968,0,KC
69,1325000.0,2014-06-12,2.25,5,3200.0,20158,1.0,Good,Superior,1965,0,KC
70,1040000.0,2014-09-12,3.25,5,4770.0,50094,1.0,Very Good,Exceptional-C,1973,0,KC
71,325000.0,2015-01-05,2.0,3,1260.0,5612,1.0,Very Good,Excellent,1972,0,KC
72,571000.0,2014-06-10,2.0,4,2750.0,7807,1.5,Excellent,Excellent,1916,0,KC
73,360000.0,2014-07-10,2.5,4,2380.0,5000,2.0,Good,Superior,2005,0,KC
74,349000.0,2015-03-16,1.75,3,1790.0,50529,1.0,Excellent,Excellent,1965,0,KC
75,832500.0,2014-11-05,4.0,4,3430.0,35102,2.0,Very Good,Exceptional-B,1986,0,KC
76,380000.0,2014-10-13,1.75,4,1760.0,7300,1.0,Good,Excellent,1956,0,KC
77,480000.0,2015-04-20,1.0,3,1040.0,5060,1.0,Good,Excellent,1941,0,KC
78,410000.0,2014-06-09,1.0,3,1410.0,5060,1.0,Very Good,Excellent,1956,0,KC
79,720000.0,2015-03-23,2.5,4,3450.0,39683,2.0,Good,Exceptional-B,2002,0,KC
80,390000.0,2014-12-02,2.5,3,2350.0,5100,2.0,Good,Superior,2003,0,KC
81,360000.0,2014-12-22,2.5,4,1900.0,5889,2.0,Good,Excellent,1992,0,KC
82,355000.0,2014-10-28,1.0,2,2020.0,6720,1.0,Good,Excellent,1948,0,KC
83,356000.0,2015-01-28,1.5,3,1680.0,8712,1.0,Good,Superior,1964,0,KC
84,315000.0,2014-06-02,1.0,3,960.0,6634,1.0,Good,Very Good,1952,0,KC
85,940000.0,2014-11-14,1.5,3,2140.0,3600,2.0,Good,Exceptional-A,1925,0,KC
86,305000.0,2014-11-03,2.25,5,2660.0,8400,1.5,Excellent,Excellent,1961,0,KC
87,461000.0,2014-06-18,3.25,3,2770.0,6278,2.0,Good,Exceptional-A,2006,0,KC
88,215000.0,2014-05-19,2.25,2,1610.0,2040,2.0,Very Good,Excellent,1979,0,KC
89,335000.0,2014-09-04,1.75,2,1030.0,1066,2.0,Good,Excellent,2006,0,KC
90,243500.0,2014-05-22,2.5,4,1980.0,7403,2.0,Good,Excellent,1988,0,KC
91,1099880.0,2015-03-11,2.75,5,3520.0,6353,2.0,Very Good,Exceptional-B,2001,0,KC
92,153000.0,2015-02-26,1.0,3,1200.0,10500,1.0,Good,Excellent,1962,0,KC
93,430000.0,2014-07-25,1.5,3,1580.0,5000,1.0,Good,Superior,1939,0,KC
94,700000.0,2014-12-23,1.5,3,1580.0,5000,1.0,Good,Superior,1939,0,KC
95,905000.0,2014-09-08,2.5,4,3300.0,10250,1.0,Good,Excellent,1946,1991,KC
96,247500.0,2015-03-30,1.75,3,1960.0,15681,1.0,Good,Excellent,1967,0,KC
97,199000.0,2014-09-12,1.5,4,1160.0,6400,1.0,Very Good,Excellent,1975,0,KC
98,314000.0,2014-07-11,1.75,3,1810.0,41800,1.0,Excellent,Excellent,1980,0,KC
99,437500.0,2014-05-16,2.5,3,2320.0,36847,2.0,Good,Exceptional-A,1992,0,KC
100,850830.0,2014-06-11,2.5,3,2070.0,13241,1.5,Excellent,Exceptional-A,1910,0,KC
101,555000.0,2014-10-27,2.0,3,1980.0,3478,1.5,Very Good,Excellent,1929,0,KC
102,699950.0,2014-12-12,2.25,3,2190.0,107593,2.0,Very Good,Superior,1983,0,KC
103,1088000.0,2014-10-07,2.5,3,2920.0,8113,2.0,Good,Superior,1950,2010,KC
104,290000.0,2014-09-24,1.0,3,1210.0,33919,1.0,Good,Excellent,1954,0,KC
105,375000.0,2015-04-02,2.5,3,2340.0,10005,1.0,Very Good,Superior,1978,0,KC
106,460000.0,2014-05-23,1.0,3,1670.0,4005,1.5,Very Good,Excellent,1939,0,KC
107,188500.0,2014-07-23,1.75,2,1240.0,2493,1.0,Very Good,Superior,1985,0,KC
108,680000.0,2015-03-05,2.5,4,3140.0,28037,2.0,Very Good,Exceptional-B,1991,0,KC
109,470000.0,2014-08-27,1.75,5,2030.0,12342,2.0,Very Good,Excellent,1942,0,KC
110,597750.0,2014-07-25,2.5,4,2310.0,9624,2.0,Good,Superior,1984,0,KC
111,570000.0,2015-03-04,1.75,3,1260.0,3328,1.0,Excellent,Very Good,1905,0,KC
112,272500.0,2014-09-16,1.75,3,1540.0,12600,1.0,Very Good,Excellent,1980,0,KC
113,329950.0,2014-11-24,1.75,3,2080.0,5969,1.0,Good,Excellent,1971,0,KC
114,480000.0,2014-10-28,2.5,4,3230.0,16171,2.0,Good,Exceptional-A,2001,0,KC
115,740500.0,2014-11-21,3.5,3,4380.0,6350,2.0,Good,Superior,1900,1999,KC
116,518500.0,2014-06-26,3.5,3,1590.0,1102,3.0,Good,Superior,2010,0,KC
117,205425.0,2014-06-23,1.0,2,880.0,6780,1.0,Very Good,Very Good,1945,0,KC
118,171800.0,2015-01-08,2.0,4,1570.0,9600,1.0,Good,Very Good,1950,0,KC
119,535000.0,2015-05-11,1.0,4,1610.0,2982,1.5,Very Good,Excellent,1925,0,KC
120,660000.0,2015-01-02,2.5,3,2400.0,6474,1.0,Good,Superior,1964,0,KC
121,391500.0,2014-11-19,2.0,3,1450.0,9132,1.0,Good,Excellent,1987,0,KC
122,395000.0,2015-04-06,1.0,2,770.0,6000,1.0,Good,Very Good,1953,0,KC
123,445000.0,2014-11-04,1.75,4,2100.0,4400,1.5,Excellent,Excellent,1924,0,KC
124,770000.0,2014-06-18,2.25,3,2910.0,10204,2.0,Good,Exceptional-A,1990,0,KC
125,1450000.0,2015-03-02,2.75,4,2750.0,17789,1.5,Good,Superior,1914,1992,KC
126,445000.0,2014-07-17,2.25,3,2100.0,8201,1.0,Good,Superior,1967,0,KC
127,260000.0,2014-07-17,2.25,4,2160.0,8811,1.0,Good,Superior,1978,0,KC
128,822500.0,2014-06-13,3.5,5,2320.0,4960,2.0,Excellent,Excellent,1926,0,KC
129,430000.0,2015-04-06,2.5,4,2070.0,4310,2.0,Good,Excellent,2004,0,KC
130,212000.0,2015-01-05,1.75,3,1060.0,7875,1.0,Very Good,Excellent,1986,0,KC
131,660500.0,2015-04-28,2.25,4,2010.0,9603,1.0,Good,Superior,1986,0,KC
132,784000.0,2014-06-12,3.5,3,3950.0,111078,1.5,Good,Exceptional-A,1989,0,KC
133,453246.0,2014-05-12,2.5,3,2010.0,2287,2.0,Good,Superior,2014,0,KC
134,675000.0,2015-01-26,3.5,4,2140.0,2278,3.0,Good,Exceptional-A,2005,0,KC
135,199000.0,2014-08-13,1.75,3,1320.0,17390,1.0,Very Good,Excellent,1956,0,KC
136,220000.0,2014-08-05,1.75,4,2020.0,7840,1.0,Good,Excellent,1968,0,KC
137,452000.0,2014-05-29,2.25,4,2590.0,10002,1.0,Very Good,Superior,1968,0,KC
138,382500.0,2014-07-07,1.0,2,1190.0,4440,1.0,Good,Very Good,1981,0,KC
139,519950.0,2014-05-07,2.25,3,1170.0,1249,3.0,Good,Superior,2014,0,KC
140,665000.0,2014-06-27,1.0,2,1110.0,3200,1.0,Good,Excellent,1925,0,KC
141,527700.0,2014-07-08,2.5,5,2820.0,9375,1.0,Very Good,Superior,1968,0,KC
142,205000.0,2015-05-08,1.0,3,1610.0,8579,1.0,Very Good,Excellent,1962,0,KC
143,420000.0,2015-04-15,1.0,3,1060.0,8097,1.0,Very Good,Excellent,1923,0,KC
144,500000.0,2015-02-27,2.25,4,2030.0,8517,1.0,Very Good,Superior,1961,0,KC
145,921500.0,2014-12-03,2.5,4,3670.0,315374,2.0,Very Good,Exceptional-A,1994,0,KC
146,890000.0,2014-06-25,1.0,4,2550.0,4000,2.0,Good,Superior,1905,0,KC
147,430000.0,2014-08-06,2.5,2,2420.0,60984,2.0,Good,Excellent,2007,0,KC
148,258000.0,2014-10-30,2.0,5,2260.0,12500,1.0,Very Good,Superior,1960,0,KC
149,511000.0,2014-11-04,1.0,3,1430.0,3455,1.0,Good,Excellent,1947,0,KC
150,532170.0,2014-08-20,2.0,3,1360.0,3090,2.0,Good,Superior,1990,0,KC
151,560000.0,2015-04-09,1.0,3,1110.0,5000,1.5,Good,Excellent,1947,0,KC
152,282950.0,2015-03-31,1.0,3,1250.0,8200,1.0,Very Good,Excellent,1954,0,KC
153,2250000.0,2015-04-01,3.25,4,5180.0,19850,2.0,Good,Exceptional-D,2006,0,KC
154,350000.0,2014-05-16,1.0,1,700.0,5100,1.0,Good,Excellent,1942,0,KC
155,215000.0,2014-07-28,1.0,3,1180.0,7669,1.0,Very Good,Excellent,1967,0,KC
156,650000.0,2014-11-20,3.5,5,3960.0,25245,2.0,Good,Exceptional-A,1996,0,KC
157,320000.0,2014-08-07,2.75,4,2640.0,7500,1.0,Good,Superior,1967,0,KC
158,247000.0,2014-11-13,2.0,3,1270.0,7198,1.5,Good,Excellent,1916,2013,KC
159,320000.0,2014-10-03,1.75,4,1760.0,11180,1.0,Very Good,Superior,1968,0,KC
160,255000.0,2014-05-07,2.25,5,2060.0,8632,1.0,Good,Excellent,1962,0,KC
